object,level,seed,regime,policy,budget,n_improved,E_run
obj_03_pumpkin,0.2,3,100,random48_3,0.8,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_4,0.1,14,0.0398924684
obj_03_pumpkin,0.2,3,100,random48_4,0.2,28,0.0089483009
obj_03_pumpkin,0.2,3,100,random48_4,0.4,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_4,0.6,48,0.00105999336
obj_03_pumpkin,0.2,3,100,random48_4,0.8,48,0.00105999336
obj_03_pumpkin,0.2,4,10,random48_0,0.1,14,0.040017695
obj_03_pumpkin,0.2,4,10,random48_0,0.2,28,0.0712350551
obj_03_pumpkin,0.2,4,10,random48_0,0.4,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_0,0.6,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_0,0.8,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_1,0.1,14,0.0901445284
obj_03_pumpkin,0.2,4,10,random48_1,0.2,28,0.104399649
obj_03_pumpkin,0.2,4,10,random48_1,0.4,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_1,0.6,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_1,0.8,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_2,0.1,14,0.0380221149
obj_03_pumpkin,0.2,4,10,random48_2,0.2,28,0.0312834208
obj_03_pumpkin,0.2,4,10,random48_2,0.4,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_2,0.6,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_2,0.8,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_3,0.1,14,0.15438682
obj_03_pumpkin,0.2,4,10,random48_3,0.2,28,0.108156039
obj_03_pumpkin,0.2,4,10,random48_3,0.4,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_3,0.6,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_3,0.8,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_4,0.1,14,0.047846948
obj_03_pumpkin,0.2,4,10,random48_4,0.2,28,0.034988191
obj_03_pumpkin,0.2,4,10,random48_4,0.4,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_4,0.6,48,0.0102236046
obj_03_pumpkin,0.2,4,10,random48_4,0.8,48,0.0102236046
obj_03_pumpkin,0.2,4,100,random48_0,0.1,14,0.0381176833
obj_03_pumpkin,0.2,4,100,random48_0,0.2,28,0.0164255774
obj_03_pumpkin,0.2,4,100,random48_0,0.4,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_0,0.6,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_0,0.8,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_1,0.1,14,0.0243021191
obj_03_pumpkin,0.2,4,100,random48_1,0.2,28,0.0351892926
obj_03_pumpkin,0.2,4,100,random48_1,0.4,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_1,0.6,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_1,0.8,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_2,0.1,14,0.070153167
obj_03_pumpkin,0.2,4,100,random48_2,0.2,28,0.0478884631
obj_03_pumpkin,0.2,4,100,random48_2,0.4,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_2,0.6,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_2,0.8,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_3,0.1,14,0.0377924476
obj_03_pumpkin,0.2,4,100,random48_3,0.2,28,0.164286918
obj_03_pumpkin,0.2,4,100,random48_3,0.4,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_3,0.6,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_3,0.8,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_4,0.1,14,0.118549555
obj_03_pumpkin,0.2,4,100,random48_4,0.2,28,0.0173863767
obj_03_pumpkin,0.2,4,100,random48_4,0.4,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_4,0.6,48,0.00131266509
obj_03_pumpkin,0.2,4,100,random48_4,0.8,48,0.00131266509
obj_03_pumpkin,0.2,5,10,random48_0,0.1,14,0.0816208336
obj_03_pumpkin,0.2,5,10,random48_0,0.2,28,0.212828938
obj_03_pumpkin,0.2,5,10,random48_0,0.4,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_0,0.6,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_0,0.8,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_1,0.1,14,0.0928309637
obj_03_pumpkin,0.2,5,10,random48_1,0.2,28,0.0435120798
obj_03_pumpkin,0.2,5,10,random48_1,0.4,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_1,0.6,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_1,0.8,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_2,0.1,14,0.147831735
obj_03_pumpkin,0.2,5,10,random48_2,0.2,28,0.0728340102
obj_03_pumpkin,0.2,5,10,random48_2,0.4,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_2,0.6,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_2,0.8,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_3,0.1,14,0.185551338
obj_03_pumpkin,0.2,5,10,random48_3,0.2,28,0.128738487
obj_03_pumpkin,0.2,5,10,random48_3,0.4,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_3,0.6,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_3,0.8,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_4,0.1,14,0.241762493
obj_03_pumpkin,0.2,5,10,random48_4,0.2,28,0.099286903
obj_03_pumpkin,0.2,5,10,random48_4,0.4,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_4,0.6,48,0.0257217152
obj_03_pumpkin,0.2,5,10,random48_4,0.8,48,0.0257217152
obj_03_pumpkin,0.2,5,100,random48_0,0.1,14,0.287157596
obj_03_pumpkin,0.2,5,100,random48_0,0.2,28,0.10288195
obj_03_pumpkin,0.2,5,100,random48_0,0.4,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_0,0.6,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_0,0.8,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_1,0.1,14,0.0713613047
obj_03_pumpkin,0.2,5,100,random48_1,0.2,28,0.0157664258
obj_03_pumpkin,0.2,5,100,random48_1,0.4,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_1,0.6,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_1,0.8,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_2,0.1,14,0.0632199779
obj_03_pumpkin,0.2,5,100,random48_2,0.2,28,0.144577514
obj_03_pumpkin,0.2,5,100,random48_2,0.4,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_2,0.6,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_2,0.8,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_3,0.1,14,0.0505740651
obj_03_pumpkin,0.2,5,100,random48_3,0.2,28,0.0441285354
obj_03_pumpkin,0.2,5,100,random48_3,0.4,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_3,0.6,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_3,0.8,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_4,0.1,14,0.332078864
obj_03_pumpkin,0.2,5,100,random48_4,0.2,28,0.173918374
obj_03_pumpkin,0.2,5,100,random48_4,0.4,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_4,0.6,48,0.0032516268
obj_03_pumpkin,0.2,5,100,random48_4,0.8,48,0.0032516268
obj_03_pumpkin,0.2,6,10,random48_0,0.1,14,0.461941609
obj_03_pumpkin,0.2,6,10,random48_0,0.2,28,0.397294753
obj_03_pumpkin,0.2,6,10,random48_0,0.4,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_0,0.6,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_0,0.8,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_1,0.1,14,0.409033334
obj_03_pumpkin,0.2,6,10,random48_1,0.2,28,0.0942063955
obj_03_pumpkin,0.2,6,10,random48_1,0.4,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_1,0.6,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_1,0.8,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_2,0.1,14,0.439077656
obj_03_pumpkin,0.2,6,10,random48_2,0.2,28,0.393054481
obj_03_pumpkin,0.2,6,10,random48_2,0.4,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_2,0.6,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_2,0.8,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_3,0.1,14,0.459912561
obj_03_pumpkin,0.2,6,10,random48_3,0.2,28,0.430459829
obj_03_pumpkin,0.2,6,10,random48_3,0.4,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_3,0.6,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_3,0.8,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_4,0.1,14,0.477970172
obj_03_pumpkin,0.2,6,10,random48_4,0.2,28,0.362158179
obj_03_pumpkin,0.2,6,10,random48_4,0.4,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_4,0.6,48,0.0556612755
obj_03_pumpkin,0.2,6,10,random48_4,0.8,48,0.0556612755
obj_03_pumpkin,0.2,6,100,random48_0,0.1,14,0.860577911
obj_03_pumpkin,0.2,6,100,random48_0,0.2,28,0.417786484
obj_03_pumpkin,0.2,6,100,random48_0,0.4,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_0,0.6,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_0,0.8,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_1,0.1,14,0.513348855
obj_03_pumpkin,0.2,6,100,random48_1,0.2,28,0.51918121
obj_03_pumpkin,0.2,6,100,random48_1,0.4,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_1,0.6,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_1,0.8,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_2,0.1,14,0.81459605
obj_03_pumpkin,0.2,6,100,random48_2,0.2,28,0.284313015
obj_03_pumpkin,0.2,6,100,random48_2,0.4,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_2,0.6,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_2,0.8,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_3,0.1,14,0.753163566
obj_03_pumpkin,0.2,6,100,random48_3,0.2,28,0.258127313
obj_03_pumpkin,0.2,6,100,random48_3,0.4,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_3,0.6,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_3,0.8,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_4,0.1,14,0.780110766
obj_03_pumpkin,0.2,6,100,random48_4,0.2,28,0.271377498
obj_03_pumpkin,0.2,6,100,random48_4,0.4,48,0.00449774522
