object,regime,policy,budget,E_osb
obj_09_ball,10,d_opt,0.2,0.4869393935326676
obj_09_ball,10,d_opt,0.4,0.10477216208408598
obj_09_ball,10,d_opt,0.6,0.10477216208408598
obj_09_ball,10,d_opt,0.8,0.10477216208408598
obj_09_ball,10,e_opt,0.1,0.6729767841661164
obj_09_ball,10,e_opt,0.2,0.5040069326596771
obj_09_ball,10,e_opt,0.4,0.10477216208408598
obj_09_ball,10,e_opt,0.6,0.10477216208408598
obj_09_ball,10,e_opt,0.8,0.10477216208408598
obj_09_ball,10,mode_aware,0.1,0.7862977633845342
obj_09_ball,10,mode_aware,0.2,0.47253138444928705
obj_09_ball,10,mode_aware,0.4,0.10477216208408598
obj_09_ball,10,mode_aware,0.6,0.10477216208408598
obj_09_ball,10,mode_aware,0.8,0.10477216208408598
obj_09_ball,10,random,0.1,0.48742713022079454
obj_09_ball,10,random,0.2,0.5060673860809788
obj_09_ball,10,random,0.4,0.6332593691001225
obj_09_ball,10,random,0.6,0.6993410292892925
obj_09_ball,10,random,0.8,0.5358041284558468
obj_09_ball,10,random_0,0.1,0.47429516633794017
obj_09_ball,10,random_0,0.2,0.49949049875250456
obj_09_ball,10,random_0,0.4,0.5123601705344843
obj_09_ball,10,random_0,0.6,0.5770768117595094
obj_09_ball,10,random_0,0.8,0.5916352044110641
obj_09_ball,10,random_1,0.1,0.5027387030463512
obj_09_ball,10,random_1,0.2,0.5134200073428197
obj_09_ball,10,random_1,0.4,0.573475452434142
obj_09_ball,10,random_1,0.6,0.6225665103985013
obj_09_ball,10,random_1,0.8,0.22765178921731474
obj_09_ball,10,random_2,0.1,0.4762002574003013
obj_09_ball,10,random_2,0.2,0.5187227179628014
obj_09_ball,10,random_2,0.4,0.6709420194171308
obj_09_ball,10,random_2,0.6,0.707240506320069
obj_09_ball,10,random_2,0.8,0.4313439165796365
obj_09_ball,10,random_3,0.1,0.5113704341873505
obj_09_ball,10,random_3,0.2,0.5368648330319908
obj_09_ball,10,random_3,0.4,0.739651546868334
obj_09_ball,10,random_3,0.6,0.8376226831844318
obj_09_ball,10,random_3,0.8,0.7827463237547655
obj_09_ball,10,random_4,0.1,0.4725310901320296
obj_09_ball,10,random_4,0.2,0.4618388733147774
obj_09_ball,10,random_4,0.4,0.6698676562465216
obj_09_ball,10,random_4,0.6,0.7521986347839512
obj_09_ball,10,random_4,0.8,0.6456434083164526
obj_09_ball,100,a_opt,0.1,0.7793163817056992
obj_09_ball,100,a_opt,0.2,0.565768379494859
obj_09_ball,100,a_opt,0.4,0.010531065863192782
obj_09_ball,100,a_opt,0.6,0.010531065863192782
obj_09_ball,100,a_opt,0.8,0.010531065863192782
obj_09_ball,100,d_opt,0.1,0.7498256889454303
obj_09_ball,100,d_opt,0.2,0.4856144683691976
obj_09_ball,100,d_opt,0.4,0.010531065863192782
obj_09_ball,100,d_opt,0.6,0.010531065863192782
obj_09_ball,100,d_opt,0.8,0.010531065863192782
obj_09_ball,100,e_opt,0.1,0.7793163817056992
obj_09_ball,100,e_opt,0.2,0.5756716091566147
obj_09_ball,100,e_opt,0.4,0.010531065863192782
obj_09_ball,100,e_opt,0.6,0.010531065863192782
obj_09_ball,100,e_opt,0.8,0.010531065863192782
obj_09_ball,100,mode_aware,0.1,0.8980891298172492
obj_09_ball,100,mode_aware,0.2,0.7189461949222676
obj_09_ball,100,mode_aware,0.4,0.010531065863192782
obj_09_ball,100,mode_aware,0.6,0.010531065863192782
obj_09_ball,100,mode_aware,0.8,0.010531065863192782
obj_09_ball,100,random,0.1,0.5070958793620468
obj_09_ball,100,random,0.2,0.5792930796985803
obj_09_ball,100,random,0.4,0.6461877804316574
obj_09_ball,100,random,0.6,0.8809759030759453
obj_09_ball,100,random,0.8,0.7167129428815343
obj_09_ball,100,random_0,0.1,0.48497308080587276
obj_09_ball,100,random_0,0.2,0.48558022408284957
obj_09_ball,100,random_0,0.4,0.610055839191949
obj_09_ball,100,random_0,0.6,0.7907554462520981
obj_09_ball,100,random_0,0.8,0.709995105304892
obj_09_ball,100,random_1,0.1,0.5006015660877056
obj_09_ball,100,random_1,0.2,0.5909472567756686
obj_09_ball,100,random_1,0.4,0.5466684268836515
obj_09_ball,100,random_1,0.6,0.8649681049920575
obj_09_ball,100,random_1,0.8,0.5108812606559082
obj_09_ball,100,random_2,0.1,0.5285892207664201
obj_09_ball,100,random_2,0.2,0.5402599655778685
obj_09_ball,100,random_2,0.4,0.5618639324359425
obj_09_ball,100,random_2,0.6,0.7361228296456074
obj_09_ball,100,random_2,0.8,0.6582437865815083
obj_09_ball,100,random_3,0.1,0.48061724118168286
obj_09_ball,100,random_3,0.2,0.7212154260184448
obj_09_ball,100,random_3,0.4,0.9097431517555346
obj_09_ball,100,random_3,0.6,1.213329612556764
obj_09_ball,100,random_3,0.8,0.9619623459243133
obj_09_ball,100,random_4,0.1,0.5406982879685525
obj_09_ball,100,random_4,0.2,0.5584625260380703
obj_09_ball,100,random_4,0.4,0.6026075518912094
obj_09_ball,100,random_4,0.6,0.7997035219331997
obj_09_ball,100,random_4,0.8,0.7424822159410499
obj_10_pumpkin3,10,a_opt,0.1,1.4647684838666306
obj_10_pumpkin3,10,a_opt,0.2,1.0213564964960697
obj_10_pumpkin3,10,a_opt,0.4,0.18893647444589867
obj_10_pumpkin3,10,a_opt,0.6,0.18893647444589867
obj_10_pumpkin3,10,a_opt,0.8,0.18893647444589867
obj_10_pumpkin3,10,d_opt,0.1,1.4668288535713796
obj_10_pumpkin3,10,d_opt,0.2,1.0434063519161134
obj_10_pumpkin3,10,d_opt,0.4,0.18893647444589867
obj_10_pumpkin3,10,d_opt,0.6,0.18893647444589867
obj_10_pumpkin3,10,d_opt,0.8,0.18893647444589867
obj_10_pumpkin3,10,e_opt,0.1,1.5494016233400636
obj_10_pumpkin3,10,e_opt,0.2,0.9754674953986827
obj_10_pumpkin3,10,e_opt,0.4,0.18893647444589867
obj_10_pumpkin3,10,e_opt,0.6,0.18893647444589867
obj_10_pumpkin3,10,e_opt,0.8,0.18893647444589867
obj_10_pumpkin3,10,mode_aware,0.1,1.6330254472844994
obj_10_pumpkin3,10,mode_aware,0.2,1.167070944448238
obj_10_pumpkin3,10,mode_aware,0.4,0.18893647444589867
obj_10_pumpkin3,10,mode_aware,0.6,0.18893647444589867
obj_10_pumpkin3,10,mode_aware,0.8,0.18893647444589867
obj_10_pumpkin3,10,random,0.1,1.1497349517169009
obj_10_pumpkin3,10,random,0.2,1.240824491493664
obj_10_pumpkin3,10,random,0.4,1.3299184014125573
obj_10_pumpkin3,10,random,0.6,1.413745097066261
obj_10_pumpkin3,10,random,0.8,1.2450816239735047
obj_10_pumpkin3,10,random_0,0.1,1.128654058090728
obj_10_pumpkin3,10,random_0,0.2,1.173955534023734
obj_10_pumpkin3,10,random_0,0.4,1.1822415739174261
obj_10_pumpkin3,10,random_0,0.6,1.0378682305753542
obj_10_pumpkin3,10,random_0,0.8,0.956731723104884
obj_10_pumpkin3,10,random_1,0.1,1.109334480914046
obj_10_pumpkin3,10,random_1,0.2,1.2401065418498698
obj_10_pumpkin3,10,random_1,0.4,1.4005702195299374
obj_10_pumpkin3,10,random_1,0.6,1.6128592967809743
obj_10_pumpkin3,10,random_1,0.8,0.9569774827831141
obj_10_pumpkin3,10,random_2,0.1,1.205475729711779
obj_10_pumpkin3,10,random_2,0.2,1.3429672966798591
obj_10_pumpkin3,10,random_2,0.4,1.379552957224255
obj_10_pumpkin3,10,random_2,0.6,1.5394725055287173
obj_10_pumpkin3,10,random_2,0.8,1.5177419438051292
obj_10_pumpkin3,10,random_3,0.1,1.1818550908006673
obj_10_pumpkin3,10,random_3,0.2,1.234917600870554
obj_10_pumpkin3,10,random_3,0.4,1.2605490755540958
obj_10_pumpkin3,10,random_3,0.6,1.3484920267799902
obj_10_pumpkin3,10,random_3,0.8,1.5099673867204204
obj_10_pumpkin3,10,random_4,0.1,1.123355399067285
obj_10_pumpkin3,10,random_4,0.2,1.212175484044302
obj_10_pumpkin3,10,random_4,0.4,1.4266781808370732
obj_10_pumpkin3,10,random_4,0.6,1.5300334256662695
obj_10_pumpkin3,10,random_4,0.8,1.283989583453976
obj_10_pumpkin3,100,a_opt,0.1,1.6588550576869716
obj_10_pumpkin3,100,a_opt,0.2,1.0282619436575207
obj_10_pumpkin3,100,a_opt,0.4,0.017563395425838697
obj_10_pumpkin3,100,a_opt,0.6,0.017563395425838697
obj_10_pumpkin3,100,a_opt,0.8,0.017563395425838697
obj_10_pumpkin3,100,d_opt,0.1,1.735663092033901
obj_10_pumpkin3,100,d_opt,0.2,1.3064090726425146
obj_10_pumpkin3,100,d_opt,0.4,0.017563395425838697
obj_10_pumpkin3,100,d_opt,0.6,0.017563395425838697
obj_10_pumpkin3,100,d_opt,0.8,0.017563395425838697
obj_10_pumpkin3,100,e_opt,0.1,1.72477655481097
obj_10_pumpkin3,100,e_opt,0.2,1.2920469683973435
obj_10_pumpkin3,100,e_opt,0.4,0.017563395425838697
obj_10_pumpkin3,100,e_opt,0.6,0.017563395425838697
obj_10_pumpkin3,100,e_opt,0.8,0.017563395425838697
obj_10_pumpkin3,100,mode_aware,0.1,1.7093153352953576
obj_10_pumpkin3,100,mode_aware,0.2,1.3509119618661742
obj_10_pumpkin3,100,mode_aware,0.4,0.017563395425838697
