object_id,level,ctype,q,T_ol,P_mode,P_trace,P_logdet,P_emin,P_corr
obj_09_ball,0.2,joint,1200,2829.0195952884787,0.9934369607222862,0.002254684461754919,0.006009087053843545,0.9934369607222848,0.2
obj_09_ball,0.35,joint,1200,8567.021927590169,0.9977776876429684,0.0024049001780357404,0.007145966438404531,0.9977776876429685,0.35
obj_09_ball,0.5,joint,1200,4875.179201134432,0.9988950670088443,0.0025655632923079486,0.008000421980224572,0.9988950670088436,0.5
obj_09_ball,0.75,joint,1200,21036.236827395864,0.9995029698687882,0.002826626516295505,0.009151147793568005,0.9995029698687873,0.75
obj_09_ball,1.0,joint,1200,21946.6667067271,0.9997185462650707,0.00304553913988459,0.010076671623361875,0.99971854626507,1.0
obj_10_pumpkin3,0.1,joint,1200,453.01790777521995,0.9551527095853813,0.002211105394771984,0.004369644615527,0.9551527095853808,0.1
obj_10_pumpkin3,0.2,joint,1200,1386.0584871780682,0.9869432589358995,0.0023951327196137795,0.005637997129084033,0.9869432589358998,0.2
obj_10_pumpkin3,0.35,joint,1200,4726.281613470034,0.9954240308908288,0.002529417065549877,0.006708476175918777,0.995424030890829,0.35
obj_10_pumpkin3,0.5,joint,1200,4623.966511757097,0.9976983648368123,0.002655180174548022,0.007481216545202459,0.9976983648368115,0.5
obj_10_pumpkin3,0.75,joint,1200,18336.162278107524,0.9989595678936479,0.0028734613929469743,0.00851596973036024,0.9989595678936483,0.75
obj_10_pumpkin3,1.0,joint,1200,17962.693181200873,0.9994108417057989,0.0030812982545346257,0.009374221833086926,0.9994108417057986,1.0
obj_11_pine,0.1,joint,1200,174.74981784567413,0.7438274695442622,0.0013813391371174655,0.0019860049303263723,0.7438274695442624,0.1
obj_11_pine,0.2,joint,1200,511.64806921646397,0.9022343801589536,0.002008371913188256,0.003487005513704827,0.9022343801589529,0.2
obj_11_pine,0.35,joint,1200,1545.5262198720675,0.9592018588361794,0.0023355609444085657,0.004709278981084033,0.9592018588361793,0.35
obj_11_pine,0.5,joint,1200,2180.9541261971262,0.9777301253367535,0.0024610858595087715,0.0054371260591762754,0.9777301253367541,0.5
obj_11_pine,0.75,joint,1200,2297.484840476904,0.98930496476135,0.0025576383636954914,0.0062297267047950146,0.9893049647613499,0.75
obj_11_pine,1.0,joint,1200,3409.3099809285873,0.9937866760292403,0.0026168913001399785,0.0067916111813229344,0.9937866760292412,1.0
obj_13_mushroom,0.1,joint,1200,442.9203970169883,0.960692797710696,0.0018494055425336553,0.003940682602429832,0.9606927977106957,0.1
obj_13_mushroom,0.2,joint,1200,963.439260250477,0.988687508592085,0.0020390761078962205,0.0052101372762235094,0.988687508592085,0.2
obj_13_mushroom,0.35,joint,1200,5827.401956900171,0.9960516551737196,0.002169804016857624,0.006265044134332615,0.9960516551737195,0.35
obj_13_mushroom,0.5,joint,1200,9994.78312685975,0.9980135181792499,0.002284684151950378,0.007005314158780419,0.9980135181792508,0.5
obj_13_mushroom,0.75,joint,1200,12975.02537983618,0.9991004204595839,0.0024830552179605503,0.007977435954742575,0.9991004204595848,0.75
obj_13_mushroom,1.0,joint,1200,12351.133112475101,0.999489923750399,0.002676684588533762,0.00878275614285665,0.999489923750398,1.0
obj_16_friends_cup,0.1,joint,1200,379.0481471196546,0.9811336760401324,0.0021175661289514203,0.0049436817165141615,0.9811336760401318,0.1
obj_16_friends_cup,0.2,joint,1200,677.5603172356376,0.9948582835556026,0.0022638798424980955,0.006226452333273275,0.9948582835556028,0.2
obj_16_friends_cup,0.35,joint,1200,4184.310455234765,0.9982694863847553,0.0024430076308321613,0.007407939279741767,0.9982694863847554,0.35
obj_16_friends_cup,0.5,joint,1200,15198.964813077104,0.9991443260102395,0.0026333589770520804,0.00831114350995594,0.99914432601024,0.5
obj_16_friends_cup,0.75,joint,1200,20470.402438395035,0.9996176848213499,0.002929221190208109,0.009526118569548474,0.9996176848213489,0.75
obj_16_friends_cup,1.0,joint,1200,9776.187217912484,0.999784518280139,0.003163800477318124,0.010487930338716428,0.999784518280138,1.0
obj_17_pumpkin5,0.1,joint,1200,263.03520017210997,0.9572792248162145,0.0018597682787484526,0.0039002791218187725,0.9572792248162143,0.1
